question,type,value,notes
1,int,24801002666,
2,dict,"{'54.152.17.ccg': 12562,
 '183.195.251.hah': 6524,
 '52.45.218.ihf': 5562,
 '68.180.231.abf': 5493,
 '204.212.175.bch': 4708,
 '103.238.106.gif': 4428,
 '208.77.215.jeh': 3903,
 '208.77.214.jeh': 3806,
 '217.174.255.dgd': 3551,
 '82.13.163.caf': 3527}",
3,float,0.03466852724527611,
4,str,'1627631/0001627631-15-000004/.txt',
5,int,971,
6,str,'United States of America',
7,dict,"{'United States of America': 0.019862490450725745,
 'China': 0.006864988558352402,
 'Hong Kong': 0.0,
 'Ireland': 0.3125,
 'Canada': 0.017857142857142856,
 'United Kingdom of Great Britain and Northern Ireland': 0.06666666666666667,
 'Czechia': 0.0,
 'Germany': 0.0,
 'Bulgaria': 0.3333333333333333,
 'France': 0.0036900369003690036,
 'India': 0.058823529411764705,
 'Korea (Republic of)': 0.2,
 'Australia': 0.07692307692307693,
 'Spain': 0.0,
 'Netherlands': 0.0,
 'Sweden': 0.0,
 'Sudan': 0.0,
 'Estonia': 0.0,
 'Russian Federation': 0.0,
 'Tanzania, United Republic of': 0.0,
 'Yemen': 0.0,
 'Algeria': 0.0,
 'Ukraine': 0.0,
 'Slovakia': 0.0,
 'Viet Nam': 0.0,
 'Denmark': 0.0,
 'Singapore': 0.0,
 'Switzerland': 0.0,
 'Thailand': 0.0,
 'South Africa': 0.0,
 'Italy': 0.0,
 'Poland': 0.0,
 'Taiwan (Province of China)': 0.0,
 'Brazil': 0.0,
 'Morocco': 0.0,
 'Malaysia': 0.0,
 'Hungary': 0.0,
 'Japan': 0.0,
 'Luxembourg': 0.0,
 'Romania': 0.0,
 'Liberia': 0.0,
 'Israel': 0.0,
 'Bangladesh': 0.0,
 'Austria': 0.0,
 'Indonesia': 0.0,
 'Saudi Arabia': 0.0,
 'Armenia': 0.0,
 'Philippines': 0.0,
 'Egypt': 0.0,
 'Iraq': 0.0,
 'North Macedonia': 0.0,
 'Slovenia': 0.0,
 'Finland': 0.0,
 '-': 0.0,
 'Croatia': 0.0,
 'Portugal': 0.0,
 'Latvia': 0.0,
 'Syrian Arab Republic': 0.0,
 'Lebanon': 0.0,
 'Mongolia': 0.0,
 'Cyprus': 0.0,
 'Virgin Islands (British)': 0.0,
 'Pakistan': 0.0,
 'Greece': 0.0,
 'Honduras': 0.0,
 'Turkey': 0.0,
 'Nigeria': 0.0,
 'Jordan': 0.0,
 'Angola': 0.0,
 'Mexico': 0.0,
 'Jersey': 0.0,
 'Venezuela (Bolivarian Republic of)': 0.0}",
8,list,"['2007-07-25', '2007-07-25', '2007-07-23']",
9,dict,"{'CA': 91,
 'NY': 83,
 'TX': 64,
 'MA': 30,
 'PA': 25,
 'IL': 25,
 'CO': 25,
 'NJ': 23,
 'FL': 21,
 'MN': 15,
 'VA': 15,
 'CT': 14,
 'MD': 13,
 'MI': 11,
 'OH': 10,
 'DE': 10,
 'WI': 9,
 'NC': 9,
 'GA': 8,
 'OK': 7,
 'NV': 6,
 'IA': 6,
 'OX': 6,
 'AZ': 5,
 'KS': 5,
 'UT': 5,
 'TN': 4,
 'MO': 4,
 'IN': 4,
 'WA': 3,
 'WV': 2,
 'OR': 2,
 'LA': 2,
 'NE': 2,
 'KY': 2,
 'AL': 1,
 'SD': 1,
 'MS': 1,
 'VT': 1,
 'ID': 1,
 'AR': 1,
 'NM': 1,
 'DC': 1,
 'ME': 1}",
10,dict,"{2834: 40,
 6022: 20,
 6798: 20,
 6021: 20,
 1311: 20,
 6211: 17,
 6189: 17,
 1109189: 15,
 2836: 13,
 1000: 11,
 7372: 11,
 7389: 11,
 6029: 11,
 6331: 10,
 6282: 8,
 2860: 8,
 4911: 8,
 6199: 8,
 7370: 7,
 3841: 6,
 7371: 6,
 4931: 5,
 8742: 5,
 900: 5,
 3674: 5,
 4522: 5,
 1700: 5,
 3826: 5,
 1389: 4,
 5812: 4,
 6035: 4,
 2510: 4,
 3663: 4,
 4813: 4,
 7374: 4,
 3842: 4,
 6221: 3,
 1400: 3,
 8062: 3,
 6799: 3,
 3576: 3,
 3510: 3,
 3829: 3,
 3420: 3,
 7373: 3,
 7200: 3,
 3620: 3,
 2800: 3,
 5065: 2,
 6141: 2,
 3559: 2,
 2111: 2,
 3695: 2,
 3825: 2,
 5172: 2,
 3272: 2,
 1382: 2,
 1531: 2,
 3679: 2,
 3577: 2,
 3661: 2,
 2870: 2,
 7812: 2,
 4922: 2,
 4512: 2,
 3621: 2,
 4812: 2,
 5661: 2,
 7900: 2,
 5122: 2,
 4841: 2,
 3669: 2,
 5900: 2,
 8082: 2,
 5940: 2,
 6324: 2,
 3990: 2,
 8711: 2,
 6321: 2,
 3845: 2,
 1221: 2,
 6311: 2,
 1731: 2,
 8731: 2,
 7830: 2,
 2810: 2,
 5500: 2,
 1040: 2,
 3690: 2,
 3827: 1,
 6111: 1,
 2273: 1,
 7363: 1,
 7990: 1,
 5961: 1,
 3630: 1,
 1381: 1,
 5945: 1,
 6792: 1,
 5990: 1,
 3678: 1,
 8200: 1,
 3443: 1,
 7841: 1,
 2820: 1,
 5030: 1,
 2790: 1,
 6500: 1,
 8090: 1,
 4955: 1,
 3442: 1,
 5311: 1,
 2750: 1,
 5651: 1,
 7340: 1,
 4213: 1,
 5731: 1,
 3672: 1,
 6036: 1,
 5531: 1,
 2430: 1,
 3590: 1,
 3312: 1,
 2670: 1,
 2780: 1,
 3714: 1,
 2030: 1,
 7350: 1,
 6099: 1,
 7320: 1,
 5960: 1,
 5944: 1,
 5160: 1,
 7384: 1,
 4833: 1,
 6770: 1,
 2070: 1,
 2320: 1,
 6411: 1,
 2890: 1,
 3550: 1,
 8051: 1,
 7330: 1,
 5621: 1,
 4941: 1,
 7381: 1,
 6200: 1,
 3140: 1,
 7361: 1,
 3571: 1,
 7822: 1,
 2024: 1,
 2080: 1,
 3585: 1,
 6513: 1,
 2911: 1,
 4412: 1,
 8093: 1,
 3537: 1,
 4924: 1,
 3490: 1,
 3711: 1,
 3944: 1,
 3730: 1,
 2711: 1,
 3721: 1,
 2033: 1,
 3317: 1,
 7311: 1,
 3541: 1,
 100: 1,
 4899: 1,
 2842: 1,
 3578: 1,
 1623: 1}",
